question,answer,alternative_answer
The _ conducted a geotechnical investigation at 21 Peacham Crescent to assess the existing soil conditions.,Soil Engineers Ltd.,Soil Engineers Ltd.
The Toronto and Region Conservation Authority (TRCA) retained _ to provide engineering services for assessing slope stability and erosion risks.,Cole Engineering Group Ltd.,Cole Engineering Group Ltd.
The study area is located within the _ watershed in the City of Toronto.,Humber River,Humber River
"The July 8, _ storm event contributed significantly to the erosion and slope failures studied in this report.",2013,2013
The slope failure at 21 Peacham Crescent has led to trees either falling or _ away from the slope.,Leaning,Leaning
"The geotechnical investigation at 21 Peacham Crescent included drilling _ borehole(s) at the top of the bank on April 28, 2014.",One (1),One (1)
The 'Do Nothing' alternative for slope remediation is not desired because the _ crosses through the footprint of the existing building.,Long Term Stable Slope Crest (LTSSC),Long Term Stable Slope Crest (LTSSC)
The Mechanically Stabilized Earth (MSE) Wall alternative involves wrapping layers of _ with geogrid to stabilize the slope.,Stone,Stone
The estimated cost for constructing a Gravity Retaining Wall as a remediation method at 21-25 Peacham Crescent is _.,"$435,000",435000
"According to the report, the _ alternative provides a natural aesthetic appeal, requires minimal disturbance, and is relatively low-cost.",Geoweb System,Geoweb System
The _ conducted a geomorphic assessment for the Bercy Wycliffe Park Sanitary Infrastructure Protection Project.,Greck and Associates Limited,Greck and Associates Limited
The Toronto and Region Conservation Authority (TRCA) collaborated with the _ to identify at-risk sanitary infrastructure along German Mills Creek.,Regional Municipality of York,Regional Municipality of York
The study area is located on _ between John Street and Steeles Avenue East.,German Mills Creek,German Mills Creek
The sanitary sewer in the project area is a _ diameter Class 2400 Asbestos-Cement Pipe.,750mm,750mm
The Infrastructure Hazard Monitoring Program identified _ intersection sites and eleven proximity sites as being at risk.,Seven,7
"A _ was used to assess channel stability and record evidence of aggradation, degradation, and widening.",Rapid Geomorphic Assessment (RGA),Rapid Geomorphic Assessment (RGA)
The study identified that one of the major causes of infrastructure risk was continued _ along German Mills Creek.,Erosion,Erosion
The _ method was used to measure grain size distribution in alluvial materials along the creek.,Wolman Pebble Count,Wolman Pebble Count
The pedestrian bridge providing access to Adventure Valley Day Camp was relocated between _ and _.,1983 and 1989,1983 and 1989
"Reach 1 of German Mills Creek exhibits _ morphology, characterized by deep pools and riffles.",Pool-riffle,Pool-riffle
The _ is responsible for securing funding and reviewing project budgets for the Bercy Wycliffe Park Infrastructure Protection Project.,Moranne McDonnell,Moranne McDonnell
The emergency remedial action at Site _ was identified as the highest priority in the region and scheduled for July 2017.,P-531,P-531
The TRCA’s _ identified six high-priority sanitary infrastructure risk sites between John Street and Steeles Avenue in Markham.,Infrastructure Hazard Monitoring Program,Infrastructure Hazard Monitoring Program
The remedial bank stabilization works at Site 1 include a _ round stone revetment.,110 m,110 m
The implementation of Sites 2 and 3 works is anticipated for _.,Summer 2020,Summer 2020
The Clean Water and Wastewater Fund (CWWF) contributed _ for implementation at Site 1 and studies at Sites 2 – 4.,"$450,000.00",450000.00
The project area covers a _ linear meter stretch of German Mills Creek running north-south between John Street and Steeles Avenue East.,1400,1400
The bank behind the cribwall at Site 4 has a scour more than _ in length.,50m,50m
"The implementation of Site 4 is scheduled for _, pending available resources.",2019,2019
The estimated cost for permits and approvals for this project is _.,"$3,300.00",3300.00
The _ is working in partnership with York Region to undertake sanitary infrastructure protection works at German Mills Settlers Park.,Toronto and Region Conservation Authority (TRCA),Toronto and Region Conservation Authority (TRCA)
The _ identified and monitored several at-risk sanitary sites along German Mills Creek since 2012.,Infrastructure Hazard Monitoring Program (IHMP),Infrastructure Hazard Monitoring Program (IHMP)
A total of _ sites were ranked in terms of priority and are in the planning stages of sanitary infrastructure protection.,Seven,7
The remedial bank stabilization works at Site 1 include a _ round stone revetment.,110 m,110 m
The implementation of Sites 2 and 3 works is anticipated for _.,Summer 2020,Summer 2020
The Clean Water and Wastewater Fund (CWWF) contributed _ for implementation at Site 1 and studies at Sites 2 – 4.,"$450,000.00",450000.00
The project area covers a _ linear meter stretch of German Mills Creek running north-south between John Street and Steeles Avenue East.,1400,1400
The bank behind the cribwall at Site 4 has a scour more than _ in length.,50m,50m
"The implementation of Site 4 is scheduled for _, pending available resources.",2019,2019
The estimated cost for permits and approvals for this project is _.,"$3,300.00",3300.00
"The consulting firm _ was retained to develop conceptual designs for slope stabilization behind 21, 23, and 25 Peacham Crescent.",Terraprobe Inc.,Terraprobe Inc.
The study area consists of an approximately _-meter-long section of a valley slope associated with a tributary of Black Creek.,52,52
"Following the severe weather event on _, TRCA was informed about slumping and slope instability behind three residential properties.","July 8, 2013",2013/07/08
"The Long Term Stable Slope Crest (LTSSC) was estimated based on a Factor of Safety (FOS) of _, as requested by TRCA.",1.3,1.3
The _ option consists of leaving the slope in its current state without taking any remedial actions.,Do Nothing,Do Nothing
"In the Cut-back and Revegetate option, the slope would be regraded to a stable inclination of _ H:1 V.",1.8,1.8
"The _ stabilization method involves constructing a vegetated slope system with reinforced fill, geogrid, and Flex MSE bags and plates.",Flex MSE Vegetated Slope,Flex MSE Vegetated Slope
The Flex MSE Vegetated Wall system consists of a tiered wall with an upper wall of _ meters and a lower wall of _ meters in height.,1 to 2; 2 to 2.5,1 to 2; 2 to 2.5
The estimated hazard limit for slope recession extends _ meters into the backyard space behind the dwellings.,2.5 to 6,2.5 to 6
One of the primary causes of slope instability at the site was the presence of _ at the slope crest and upper portion of the slope.,Uncontrolled/un-engineered earth fill,Uncontrolled/un-engineered earth fill
The Toronto and Region Conservation Authority (TRCA) is undertaking the Peacham Crescent _ and slope stabilization project to mitigate erosion risks.,Erosion control,Erosion control
"The Peacham Crescent Slope Stabilization Project follows the Class Environmental Assessment (EA) for Remedial Flood and Erosion Control Projects, amended in _.",2013,2013
"The primary objectives of the project include risk mitigation, naturalization, and _ with existing infrastructure.",Compatibility,Compatibility
Concerns regarding slope instability behind Peacham Crescent were first identified after the _ severe storm event.,"July 8, 2013",2013/07/08
The _ was completed in 2015 by Cole Engineering Group Ltd. to determine the extent of slope instability.,Slope Stability and Erosion Risk Assessment (SS&ERA),Slope Stability and Erosion Risk Assessment (SS&ERA)
"The Class EA for the Peacham Crescent project was officially initiated on _, with the publication of a Notice of Intent.","November 22, 2018",2018/11/22
The preferred slope stabilization solution determined through the EA process was the construction of a _ structure along the upper slope.,Mechanically Stabilized Earth (MSE),Mechanically Stabilized Earth (MSE)
