Question,Answer
The _ is responsible for securing funding and reviewing project budgets for the Bercy Wycliffe Park Infrastructure Protection Project.,Moranne McDonnell
The emergency remedial action at Site _ was identified as the highest priority in the region and scheduled for July 2017.,P-531
The TRCA’s _ identified six high-priority sanitary infrastructure risk sites between John Street and Steeles Avenue in Markham.,Infrastructure Hazard Monitoring Program
The remedial bank stabilization works at Site 1 include a _ round stone revetment.,110 m
The implementation of Sites 2 and 3 works is anticipated for _.,Summer 2020
The Clean Water and Wastewater Fund (CWWF) contributed _ for implementation at Site 1 and studies at Sites 2 – 4.,"$450,000.00"
The project area covers a _ linear meter stretch of German Mills Creek running north-south between John Street and Steeles Avenue East.,1400
The bank behind the cribwall at Site 4 has a scour more than _ in length.,50m
"The implementation of Site 4 is scheduled for _, pending available resources.",2019
The estimated cost for permits and approvals for this project is _.,"$3,300.00"
